ID;name;brand;color;size;price;season;currency;image;type;designer;description
1;Raver Baggy Jeans;Balenciaga;Black;30;1300;Spring 22;CHF;https://cache.mrporter.com/variants/images/33258524072377010/in/w1000.jpg;Bottoms;Demna Gvasalia;Balenciaga’s Raver Jeans are cut to an oversized, baggy fit from Japanese cotton-denim and are styled in black for a classic-look. The multiple pockets and metal hoop detail gives a cyber-goth feel, while the zips at the knee allow you to transform the pair into shorts for easy day-to-night wear.
2;Megalace Ponyhair Lunar Boots;Rick Owens;Black;41;3000;Fall Winter 21;CHF;https://cdn.shopify.com/s/files/1/2400/1837/products/1_340a7396-fb0d-45a3-a7e5-a3888c91787c.png?v=1651164946;Footwear;Rick Owens;Rick Owens FW21 Gethsemane Lunar Boots in black ponyhair. These Lunar Boots have a mid-calf height, they are pull with a wide leg and feature both functional and non-functional pearl megalacing, and a polished tractor sole. 
3;Steroid Lace Up Boots;Balenciaga;Black/Black;42;1325;Spring 23;CHF;https://cdn1.jolicloset.com/imgr/full/2023/04/847636-1/synthetic-balenciaga-steroid-boots-black.jpg;Footwear;Demna Gvasalia;The Steroid black leather combat boots from Balenciaga have an exaggerated shape with internal toe caps to highlight their rounded silhouette. Thick rubber lug soles and a matte finish create an effortlessly elevated look.
4;Jumbolace Shearling Lunar Boots;Rick Owens;Black/Clear;42;1900;Fall Winter 22;CHF;https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a4/P00818523.jpg;Footwear;Rick Owens;Unique finishing touches to your look – like the Lunar Tractor ankle boots from Rick Owens – will never go out of style. Made from black shearling, the design comes with rope details.
5;Runway Embroidered Megapusher Pants;Rick Owens;Black;46IT;1250;Spring Summer 19;CHF;https://i.ibb.co/YN8mGYS/8-B00-EC368-D9942179-A8-FBA26-A447-C4-A4-removebg-preview.png;Bottoms;Rick Owens;Rick Owens Megapusher from the Babel SS19 Collection. The pants are finished in a shiny nylon material with waxed panels and geometric stitching. A wonderful pair of pants which encapsulates one of the main vision captured with the Babel runway show, with exaggerated geometric shapes and structures.
6;Technic Cargo Pants;Balenciaga;Black;46IT;520;Spring 21;CHF;https://media.endclothing.com/media/f_auto,q_auto:eco,w_1600/prodmedia/media/catalog/product/0/7/07-04-2022_AJ_681347-TLO06-1000_1_1.jpg;Bottoms;Demna Gvasalia;Level-up your laid back look with these classic black cargo pants from Balenciaga. Crafted from technical fabric, they’re cut to an oversized fit for a street-ready look and are kitted out with four flap pockets at the side. To finish, they’re signed off in style at the thigh with contrasting grey branding.
7;Distressed Camo Shorts;Balenciaga;White/Black;46IT;760;Fall 21;CHF;https://editorialist.com/webcompressed/2021/11/017/357/144/17357144~grey_0.jpg;Bottoms;Demna Gvasalia;Trompe l'oeil shorts from BALENCIAGA featuring cotton, grey, camouflage pattern, trompe l'oeil print, washed denim, high waist, front button fastening, front zip fastening and slip pockets to the sides.
8;Oversized Cotton Sweatpants;Balenciaga;Black;46IT;480;Winter 22;CHF;https://www.theoutnet.com/variants/images/1647597292132554/F/w1020_q80.jpg;Bottoms;Demna Gvasalia;Balenciaga's signature Baggy pants are reissued in an ultra-oversized fit. Made from heavy cotton fleece, these tonal sweatpants have a wide-leg silhouette.
9;Skater Sweatpants;Balenciaga;Black;46IT;800;Summer 23;CHF;https://image.s5a.com/is/image/saks/0400019318848?wid=900;Bottoms;Demna Gvasalia;Balenciaga taps into Demna's rebellious side in these bold track pants. Inspired by streetwear influences, they're decorated throughout with a spray painted graffiti print that emphasises the defiant mood.
10;Distressed Wide Leg Jeans;Balenciaga;Black;46IT;780;Spring 23;CHF;https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/83/P00798265.jpg;Bottoms;Demna Gvasalia;Innovation is at the heart of Balenciaga, which proudly presents its modern interpretation of fashion in every piece. These mid-rise jeans are defined by wide, baggy legs with dramatic distressing details.
